id,listing_url,name,bedrooms,beds,bathrooms,accommodates,price,room_type,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_id,host_name,host_since,current_host_listings,total_host_listings_count,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6.98E+17,https://www.airbnb.com/rooms/698312366002400383,Rental unit in Arden , 1 bedroom , 2 beds , 1 bath,4,76,Entire home/apt,5,5,5,5,5,5,5,164488739,Trifecta,12/27/2017,21,31,3,1,3/26/2023,0.17,1,322,1
34751313,https://www.airbnb.com/rooms/34751313,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,4,60,Entire home/apt,4.92,4.9,4.94,4.9,4.94,4.89,4.92,12672266,Erin,2/28/2014,18,30,2,63,9/7/2023,4.69,1,53,56
9.42E+17,https://www.airbnb.com/rooms/942139686891798396,Rental unit in Arden , 1 bedroom , 1 beds , 1 bath,3,122,Entire home/apt,,,,,,,,166078249,Alejandra,1/5/2018,19,29,1,2,9/10/2023,1.07,39,305,2
9.42E+17,https://www.airbnb.com/rooms/942193202756648725,Rental unit in Arden , 1 bedroom , 1 beds , 1 bath,3,116,Entire home/apt,,,,,,,,166078249,Alejandra,1/5/2018,19,29,1,0,,,39,242,0
9.42E+17,https://www.airbnb.com/rooms/942195818586996066,Rental unit in Arden , 1 bedroom , 1 beds , 1 bath,3,104,Entire home/apt,,,,,,,,166078249,Alejandra,1/5/2018,19,29,2,0,,,1,288,0
15091721,https://www.airbnb.com/rooms/15091721,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,111,Entire home/apt,4.88,4.98,4.98,4.97,4.97,4.9,4.88,46001530,Jonathan,10/7/2015,23,26,2,343,9/4/2023,4.71,2,245,45
15510852,https://www.airbnb.com/rooms/15510852,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,2,115,Entire home/apt,4.88,4.97,5,4.99,4.98,4.91,4.88,46001530,Jonathan,10/7/2015,23,26,2,113,9/4/2023,1.87,1,363,7
16003488,https://www.airbnb.com/rooms/16003488,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,4,126,Entire home/apt,4.88,4.93,4.98,5,5,4.9,4.88,46001530,Jonathan,10/7/2015,23,26,2,42,12/31/2022,1.08,1,243,6
17095670,https://www.airbnb.com/rooms/17095670,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,4,112,Entire home/apt,4.88,5,4.88,5,5,4.88,4.88,46001530,Jonathan,10/7/2015,23,26,28,8,1/20/2023,0.41,1,318,3
17861930,https://www.airbnb.com/rooms/17861930,Rental unit in Asheville , 1 bedroom , 1 beds , 1 bath,4,132,Entire home/apt,4.88,5,5,4.75,4.75,5,4.88,46001530,Jonathan,10/7/2015,23,26,30,8,5/30/2023,0.94,2,345,8
